"Budget","Project","Asset Name","Product","Date","Forecast Gross Risked Row","Actuals Gross Risked Row","Blended Gross Risked Row","FieldEst Gross Risked Row","FinActuals Gross Risked Row","FinBlend Gross Risked Row","Forecast Gross Unrisked Raw","Actuals Gross Unrisked Raw","Blended Gross Unrisked Raw","FieldEst Gross Unrisked Raw","FinActuals Gross Unrisked Raw","FinBlend Gross Unrisked Raw","Forecast Gross Risked Shrunk","Actuals Gross Risked Shrunk","Blended Gross Risked Shrunk","FieldEst Gross Risked Shrunk","FinActuals Gross Risked Shrunk","FinBlend Gross Risked Shrunk","Forecast Gross Unrisked Shrunk","Actuals Gross Unrisked Shrunk","Blended Gross Unrisked Shrunk","FieldEst Gross Unrisked Shrunk","FinActuals Gross Unrisked Shrunk","FinBlend Gross Unrisked Shrunk","Forecast Net Risked Raw","Actuals Net Risked Raw","Blended Net Risked Raw","FieldEst Net Risked Raw","FinActuals Net Risked Raw","FinBlend Net Risked Raw","Forecast Net Unrisked Raw","Actuals Net Unrisked Raw","Blended Net Unrisked Raw","FieldEst Net Unrisked Raw","FinActuals Net Unrisked Raw","FinBlend Net Unrisked Raw","Forecast Net Risked Sales","Actuals Net Risked Sales","Blended Net Risked Sales","FieldEst Net Risked Sales","FinActuals Net Risked Sales","FinBlend Net Risked Sales","Forecast Net Unrisked Sales","Actuals Net Unrisked Sales","Blended Net Unrisked Sales","FieldEst Net Unrisked Sales","FinActuals Net Unrisked Sales","FinBlend Net Unrisked Sales","Forecast Net Risked After Royalty","Actuals Net Risked After Royalty","Blended Net Risked After Royalty","FieldEst Net Risked After Royalty","FinActuals Net Risked After Royalty","FinBlend Net Risked After Royalty","Forecast Net Unrisked After Royalty","Actuals Net Unrisked After Royalty","Blended Net Unrisked After Royalty","FieldEst Net Unrisked After Royalty","FinActuals Net Unrisked After Royalty","FinBlend Net Unrisked After Royalty","Forecast Gross Unrisked Row","Forecast Gross Unrisked Row","Forecast Gross Unrisked Row","Forecast Gross Unrisked Row"
"Training Forecast","Eagle Ford Shale ""A"" D&C 001","Eagle Ford Shale Type Well A","Gas","2012-02-01","290807.77969808877","0.0","290807.77969808877","0.0","0.0","290807.77969808877","290807.77969808877","0.0","290807.77969808877","0.0","0.0","290807.77969808877","290807.77969808877","0.0","290807.77969808877","0.0","0.0","290807.77969808877","290807.77969808877","0.0","290807.77969808877","0.0","0.0","290807.77969808877","247186.61274337582","0.0","247186.61274337582","0.0","0.0","247186.61274337582","247186.61274337582","0.0","247186.61274337582","0.0","0.0","247186.61274337582","247186.61274337582","0.0","247186.61274337582","0.0","0.0","247186.61274337582","247186.61274337582","0.0","247186.61274337582","0.0","0.0","247186.61274337582","218105.83477356704","0.0","218105.83477356704","0.0","0.0","218105.83477356704","218105.83477356704","0.0","218105.83477356704","0.0","0.0","218105.83477356704","290807.77969808877","290807.77969808877","290807.77969808877","290807.77969808877"
"Training Forecast","Eagle Ford Shale ""A"" D&C 001","Eagle Ford Shale Type Well A","Gas","2012-03-01","291349.4577482622","0.0","291349.4577482622","0.0","0.0","291349.4577482622","291349.4577482622","0.0","291349.4577482622","0.0","0.0","291349.4577482622","291349.4577482622","0.0","291349.4577482622","0.0","0.0","291349.4577482622","291349.4577482622","0.0","291349.4577482622","0.0","0.0","291349.4577482622","247647.03908602148","0.0","247647.03908602148","0.0","0.0","247647.03908602148","247647.03908602148","0.0","247647.03908602148","0.0","0.0","247647.03908602148","247647.03908602148","0.0","247647.03908602148","0.0","0.0","247647.03908602148","247647.03908602148","0.0","247647.03908602148","0.0","0.0","247647.03908602148","218512.0933111962","0.0","218512.0933111962","0.0","0.0","218512.0933111962","218512.0933111962","0.0","218512.0933111962","0.0","0.0","218512.0933111962","291349.4577482622","291349.4577482622","291349.4577482622","291349.4577482622"
"Training Forecast","Eagle Ford Shale ""A"" D&C 001","Eagle Ford Shale Type Well A","Gas","2012-04-01","257445.31607507262","0.0","257445.31607507262","0.0","0.0","257445.31607507262","257445.31607507262","0.0","257445.31607507262","0.0","0.0","257445.31607507262","257445.31607507262","0.0","257445.31607507262","0.0","0.0","257445.31607507262","257445.31607507262","0.0","257445.31607507262","0.0","0.0","257445.31607507262","218828.51866381243","0.0","218828.51866381243","0.0","0.0","218828.51866381243","218828.51866381243","0.0","218828.51866381243","0.0","0.0","218828.51866381243","218828.51866381243","0.0","218828.51866381243","0.0","0.0","218828.51866381243","218828.51866381243","0.0","218828.51866381243","0.0","0.0","218828.51866381243","193083.98705630424","0.0","193083.98705630424","0.0","0.0","193083.98705630424","193083.98705630424","0.0","193083.98705630424","0.0","0.0","193083.98705630424","257445.31607507262","257445.31607507262","257445.31607507262","257445.31607507262"
"Training Forecast","Eagle Ford Shale ""A"" D&C 001","Eagle Ford Shale Type Well A","Gas","2012-05-01","253647.07552506868","0.0","253647.07552506868","0.0","0.0","253647.07552506868","253647.07552506868","0.0","253647.07552506868","0.0","0.0","253647.07552506868","253647.07552506868","0.0","253647.07552506868","0.0","0.0","253647.07552506868","253647.07552506868","0.0","253647.07552506868","0.0","0.0","253647.07552506868","215600.01419630833","0.0","215600.01419630833","0.0","0.0","215600.01419630833","215600.01419630833","0.0","215600.01419630833","0.0","0.0","215600.01419630833","215600.01419630833","0.0","215600.01419630833","0.0","0.0","215600.01419630833","215600.01419630833","0.0","215600.01419630833","0.0","0.0","215600.01419630833","190235.30664380267","0.0","190235.30664380267","0.0","0.0","190235.30664380267","190235.30664380267","0.0","190235.30664380267","0.0","0.0","190235.30664380267","253647.07552506868","253647.07552506868","253647.07552506868","253647.07552506868"
"Training Forecast","Eagle Ford Shale ""A"" D&C 001","Eagle Ford Shale Type Well A","Gas","2012-06-01","236324.67877028044","0.0","236324.67877028044","0.0","0.0","236324.67877028044","236324.67877028044","0.0","236324.67877028044","0.0","0.0","236324.67877028044","236324.67877028044","0.0","236324.67877028044","0.0","0.0","236324.67877028044","236324.67877028044","0.0","236324.67877028044","0.0","0.0","236324.67877028044","200875.9769547386","0.0","200875.9769547386","0.0","0.0","200875.9769547386","200875.9769547386","0.0","200875.9769547386","0.0","0.0","200875.9769547386","200875.9769547386","0.0","200875.9769547386","0.0","0.0","200875.9769547386","200875.9769547386","0.0","200875.9769547386","0.0","0.0","200875.9769547386","177243.5090777101","0.0","177243.5090777101","0.0","0.0","177243.5090777101","177243.5090777101","0.0","177243.5090777101","0.0","0.0","177243.5090777101","236324.67877028044","236324.67877028044","236324.67877028044","236324.67877028044"
"Training Forecast","Eagle Ford Shale ""A"" D&C 001","Eagle Ford Shale Type Well A","Gas","2012-07-01","236248.9167787684","0.0","236248.9167787684","0.0","0.0","236248.9167787684","236248.9167787684","0.0","236248.9167787684","0.0","0.0","236248.9167787684","236248.9167787684","0.0","236248.9167787684","0.0","0.0","236248.9167787684","236248.9167787684","0.0","236248.9167787684","0.0","0.0","236248.9167787684","200811.579261953","0.0","200811.579261953","0.0","0.0","200811.579261953","200811.579261953","0.0","200811.579261953","0.0","0.0","200811.579261953","200811.579261953","0.0","200811.579261953","0.0","0.0","200811.579261953","200811.579261953","0.0","200811.579261953","0.0","0.0","200811.579261953","177186.68758407608","0.0","177186.68758407608","0.0","0.0","177186.68758407608","177186.68758407608","0.0","177186.68758407608","0.0","0.0","177186.68758407608","236248.9167787684","236248.9167787684","236248.9167787684","236248.9167787684"
"Training Forecast","Eagle Ford Shale ""A"" D&C 001","Eagle Ford Shale Type Well A","Gas","2012-08-01","229428.43425240275","0.0","229428.43425240275","0.0","0.0","229428.43425240275","229428.43425240275","0.0","229428.43425240275","0.0","0.0","229428.43425240275","229428.43425240275","0.0","229428.43425240275","0.0","0.0","229428.43425240275","229428.43425240275","0.0","229428.43425240275","0.0","0.0","229428.43425240275","195014.16911454313","0.0","195014.16911454313","0.0","0.0","195014.16911454313","195014.16911454313","0.0","195014.16911454313","0.0","0.0","195014.16911454313","195014.16911454313","0.0","195014.16911454313","0.0","0.0","195014.16911454313","195014.16911454313","0.0","195014.16911454313","0.0","0.0","195014.16911454313","172071.3256893009","0.0","172071.3256893009","0.0","0.0","172071.3256893009","172071.3256893009","0.0","172071.3256893009","0.0","0.0","172071.3256893009","229428.43425240275","229428.43425240275","229428.43425240275","229428.43425240275"
"Training Forecast","Eagle Ford Shale ""A"" D&C 001","Eagle Ford Shale Type Well A","Gas","2012-09-01","212895.3837110512","0.0","212895.3837110512","0.0","0.0","212895.3837110512","212895.3837110512","0.0","212895.3837110512","0.0","0.0","212895.3837110512","212895.3837110512","0.0","212895.3837110512","0.0","0.0","212895.3837110512","212895.3837110512","0.0","212895.3837110512","0.0","0.0","212895.3837110512","180961.0761543922","0.0","180961.0761543922","0.0","0.0","180961.0761543922","180961.0761543922","0.0","180961.0761543922","0.0","0.0","180961.0761543922","180961.0761543922","0.0","180961.0761543922","0.0","0.0","180961.0761543922","180961.0761543922","0.0","180961.0761543922","0.0","0.0","180961.0761543922","159671.5377832884","0.0","159671.5377832884","0.0","0.0","159671.5377832884","159671.5377832884","0.0","159671.5377832884","0.0","0.0","159671.5377832884","212895.3837110512","212895.3837110512","212895.3837110512","212895.3837110512"
"Training Forecast","Eagle Ford Shale ""A"" D&C 001","Eagle Ford Shale Type Well A","Gas","2012-10-01","215557.46887283213","0.0","215557.46887283213","0.0","0.0","215557.46887283213","215557.46887283213","0.0","215557.46887283213","0.0","0.0","215557.46887283213","215557.46887283213","0.0","215557.46887283213","0.0","0.0","215557.46887283213","215557.46887283213","0.0","215557.46887283213","0.0","0.0","215557.46887283213","183223.84854190797","0.0","183223.84854190797","0.0","0.0","183223.84854190797","183223.84854190797","0.0","183223.84854190797","0.0","0.0","183223.84854190797","183223.84854190797","0.0","183223.84854190797","0.0","0.0","183223.84854190797","183223.84854190797","0.0","183223.84854190797","0.0","0.0","183223.84854190797","161668.10165462364","0.0","161668.10165462364","0.0","0.0","161668.10165462364","161668.10165462364","0.0","161668.10165462364","0.0","0.0","161668.10165462364","215557.46887283213","215557.46887283213","215557.46887283213","215557.46887283213"
"Training Forecast","Eagle Ford Shale ""A"" D&C 001","Eagle Ford Shale Type Well A","Gas","2012-11-01","205573.01876868308","0.0","205573.01876868308","0.0","0.0","205573.01876868308","205573.01876868308","0.0","205573.01876868308","0.0","0.0","205573.01876868308","205573.01876868308","0.0","205573.01876868308","0.0","0.0","205573.01876868308","205573.01876868308","0.0","205573.01876868308","0.0","0.0","205573.01876868308","174737.0659533795","0.0","174737.0659533795","0.0","0.0","174737.0659533795","174737.0659533795","0.0","174737.0659533795","0.0","0.0","174737.0659533795","174737.0659533795","0.0","174737.0659533795","0.0","0.0","174737.0659533795","174737.0659533795","0.0","174737.0659533795","0.0","0.0","174737.0659533795","154179.76407651324","0.0","154179.76407651324","0.0","0.0","154179.76407651324","154179.76407651324","0.0","154179.76407651324","0.0","0.0","154179.76407651324","205573.01876868308","205573.01876868308","205573.01876868308","205573.01876868308"
"Training Forecast","Eagle Ford Shale ""A"" D&C 001","Eagle Ford Shale Type Well A","Gas","2012-12-01","213534.90441774204","0.0","213534.90441774204","0.0","0.0","213534.90441774204","213534.90441774204","0.0","213534.90441774204","0.0","0.0","213534.90441774204","213534.90441774204","0.0","213534.90441774204","0.0","0.0","213534.90441774204","213534.90441774204","0.0","213534.90441774204","0.0","0.0","213534.90441774204","181504.66875508055","0.0","181504.66875508055","0.0","0.0","181504.66875508055","181504.66875508055","0.0","181504.66875508055","0.0","0.0","181504.66875508055","181504.66875508055","0.0","181504.66875508055","0.0","0.0","181504.66875508055","181504.66875508055","0.0","181504.66875508055","0.0","0.0","181504.66875508055","160151.17831330746","0.0","160151.17831330746","0.0","0.0","160151.17831330746","160151.17831330746","0.0","160151.17831330746","0.0","0.0","160151.17831330746","213534.90441774204","213534.90441774204","213534.90441774204","213534.90441774204"
"Training Forecast","Eagle Ford Shale ""A"" D&C 001","Eagle Ford Shale Type Well A","Gas","2013-01-01","212851.88407088723","0.0","212851.88407088723","0.0","0.0","212851.88407088723","212851.88407088723","0.0","212851.88407088723","0.0","0.0","212851.88407088723","212851.88407088723","0.0","212851.88407088723","0.0","0.0","212851.88407088723","212851.88407088723","0.0","212851.88407088723","0.0","0.0","212851.88407088723","180924.10146025382","0.0","180924.10146025382","0.0","0.0","180924.10146025382","180924.10146025382","0.0","180924.10146025382","0.0","0.0","180924.10146025382","180924.10146025382","0.0","180924.10146025382","0.0","0.0","180924.10146025382","180924.10146025382","0.0","180924.10146025382","0.0","0.0","180924.10146025382","159638.91305316426","0.0","159638.91305316426","0.0","0.0","159638.91305316426","159638.91305316426","0.0","159638.91305316426","0.0","0.0","159638.91305316426","212851.88407088723","212851.88407088723","212851.88407088723","212851.88407088723"
"Training Forecast","Eagle Ford Shale ""A"" D&C 001","Eagle Ford Shale Type Well A","Gas","2013-02-01","186797.49009943474","0.0","186797.49009943474","0.0","0.0","186797.49009943474","186797.49009943474","0.0","186797.49009943474","0.0","0.0","186797.49009943474","186797.49009943474","0.0","186797.49009943474","0.0","0.0","186797.49009943474","186797.49009943474","0.0","186797.49009943474","0.0","0.0","186797.49009943474","158777.86658451986","0.0","158777.86658451986","0.0","0.0","158777.86658451986","158777.86658451986","0.0","158777.86658451986","0.0","0.0","158777.86658451986","158777.86658451986","0.0","158777.86658451986","0.0","0.0","158777.86658451986","158777.86658451986","0.0","158777.86658451986","0.0","0.0","158777.86658451986","140098.1175745763","0.0","140098.1175745763","0.0","0.0","140098.1175745763","140098.1175745763","0.0","140098.1175745763","0.0","0.0","140098.1175745763","186797.49009943474","186797.49009943474","186797.49009943474","186797.49009943474"
"Training Forecast","Eagle Ford Shale ""A"" D&C 001","Eagle Ford Shale Type Well A","Gas","2013-03-01","199344.1712154094","0.0","199344.1712154094","0.0","0.0","199344.1712154094","199344.1712154094","0.0","199344.1712154094","0.0","0.0","199344.1712154094","199344.1712154094","0.0","199344.1712154094","0.0","0.0","199344.1712154094","199344.1712154094","0.0","199344.1712154094","0.0","0.0","199344.1712154094","169442.5455330992","0.0","169442.5455330992","0.0","0.0","169442.5455330992","169442.5455330992","0.0","169442.5455330992","0.0","0.0","169442.5455330992","169442.5455330992","0.0","169442.5455330992","0.0","0.0","169442.5455330992","169442.5455330992","0.0","169442.5455330992","0.0","0.0","169442.5455330992","149508.1284115566","0.0","149508.1284115566","0.0","0.0","149508.1284115566","149508.1284115566","0.0","149508.1284115566","0.0","0.0","149508.1284115566","199344.1712154094","199344.1712154094","199344.1712154094","199344.1712154094"
"Training Forecast","Eagle Ford Shale ""A"" D&C 001","Eagle Ford Shale Type Well A","Gas","2013-04-01","183388.12127454858","0.0","183388.12127454858","0.0","0.0","183388.12127454858","183388.12127454858","0.0","183388.12127454858","0.0","0.0","183388.12127454858","183388.12127454858","0.0","183388.12127454858","0.0","0.0","183388.12127454858","183388.12127454858","0.0","183388.12127454858","0.0","0.0","183388.12127454858","155879.9030833654","0.0","155879.9030833654","0.0","0.0","155879.9030833654","155879.9030833654","0.0","155879.9030833654","0.0","0.0","155879.9030833654","155879.9030833654","0.0","155879.9030833654","0.0","0.0","155879.9030833654","155879.9030833654","0.0","155879.9030833654","0.0","0.0","155879.9030833654","137541.09095591214","0.0","137541.09095591214","0.0","0.0","137541.09095591214","137541.09095591214","0.0","137541.09095591214","0.0","0.0","137541.09095591214","183388.12127454858","183388.12127454858","183388.12127454858","183388.12127454858"
"Training Forecast","Eagle Ford Shale ""A"" D&C 001","Eagle Ford Shale Type Well A","Gas","2013-05-01","186282.00605630502","0.0","186282.00605630502","0.0","0.0","186282.00605630502","186282.00605630502","0.0","186282.00605630502","0.0","0.0","186282.00605630502","186282.00605630502","0.0","186282.00605630502","0.0","0.0","186282.00605630502","186282.00605630502","0.0","186282.00605630502","0.0","0.0","186282.00605630502","158339.70514785964","0.0","158339.70514785964","0.0","0.0","158339.70514785964","158339.70514785964","0.0","158339.70514785964","0.0","0.0","158339.70514785964","158339.70514785964","0.0","158339.70514785964","0.0","0.0","158339.70514785964","158339.70514785964","0.0","158339.70514785964","0.0","0.0","158339.70514785964","139711.50454222877","0.0","139711.50454222877","0.0","0.0","139711.50454222877","139711.50454222877","0.0","139711.50454222877","0.0","0.0","139711.50454222877","186282.00605630502","186282.00605630502","186282.00605630502","186282.00605630502"
